param_type,sim_id,coverage_95,coverage_90
lstm,347,0.48333333333333334,0.48333333333333334
abc,348,0.85,0.85
lstm,348,0.95,0.95
abc,349,0.9166666666666666,0.9166666666666666
lstm,349,0.7166666666666667,0.7
abc,350,0.8833333333333333,0.8833333333333333
lstm,350,0.7,0.7
abc,351,0.9833333333333333,0.9833333333333333
lstm,351,0.9666666666666667,0.9666666666666667
abc,352,0.9166666666666666,0.9166666666666666
lstm,352,0.7166666666666667,0.7166666666666667
abc,353,0.9666666666666667,0.9666666666666667
lstm,353,0.9,0.9
abc,354,0.9,0.9
lstm,354,0.9166666666666666,0.9166666666666666
abc,355,0.9833333333333333,0.9833333333333333
lstm,355,0.95,0.95
abc,356,0.7166666666666667,0.65
lstm,356,0.5,0.5
abc,357,0.9666666666666667,0.9666666666666667
lstm,357,0.9333333333333333,0.9333333333333333
abc,358,0.03333333333333333,0.03333333333333333
lstm,358,0.38333333333333336,0.38333333333333336
abc,359,1,1
lstm,359,0.48333333333333334,0.48333333333333334
abc,360,1,1
lstm,360,1,1
abc,361,0.9666666666666667,0.9666666666666667
lstm,361,1,1
abc,362,0.8833333333333333,0.85
lstm,362,0.6166666666666667,0.5166666666666667
abc,363,0.95,0.95
lstm,363,0.5166666666666667,0.5
abc,364,0.5833333333333334,0.5833333333333334
lstm,364,0.35,0.35
abc,365,0.9333333333333333,0.9333333333333333
lstm,365,0.85,0.8333333333333334
abc,366,0.9,0.9
lstm,366,0.9666666666666667,0.9666666666666667
abc,367,0.9833333333333333,0.9833333333333333
lstm,367,0.9666666666666667,0.9666666666666667
